Value,Package,ToPackage,ToCode
7486,DIL14CAP20,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS86ADR?qs=UG%2F8xqv%2F6WeQUT2f2bzDnQ%3D%3D
74LS00,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00DR?qs=p6YqzpSxLIxQ8nxlHdhQUQ%3D%3D
74LS02,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02DR?qs=SL3LIuy2dWwMb1IRls9bqA%3D%3D
74LS04,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DR?qs=SL3LIuy2dWzOhepjTMFpMg%3D%3D
74LS08,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08DR?qs=SL3LIuy2dWwzq5fnFo78kw%3D%3D
74LS10,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS10DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQI5p3xXbui0l0%3D
74LS11,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS11DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIaoHi3xvjif4%3D
74LS138,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138DR?qs=SL3LIuy2dWwYDw%252Bne7f7PA%3D%3D
74LS139,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D
74LS148,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS148DR?qs=N6WZOzgtpqUYbR2JHrDnOg%3D%3D
74LS153,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS153DR?qs=SL3LIuy2dWyFs2m7ewa9VQ%3D%3D
74LS157,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157DR?qs=SL3LIuy2dWw%2F%252Bp7AA8LUjg%3D%3D
74LS161,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161ADR?qs=SL3LIuy2dWx%252BNiLsCGC3nA%3D%3D
74LS163,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS163ADR?qs=SL3LIuy2dWzQOqYS%2FWj%252BhA%3D%3D
