Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27
Missing connection: EXPANSIONBUSP2:B24, JP49:2
Missing connection: JP57:2, EXPANSIONBUSP3:B24
Missing connection: EXPANSIONBUSP2:B29, EXPANSIONBUSH1:B29
Missing connection: EXPANSIONBUSP4:B29, EXPANSIONBUSP5:B29
Missing connection: EXPANSIONBUSP3:B29, EXPANSIONBUSP4:B29
Missing connection: EXPANSIONBUSP5:B29, EXPANSIONBUSP2:B29
Missing connection: EXPANSIONBUSP1:B29, EXPANSIONBUSP3:B29
Missing connection: EXPANSIONBUSP6:B29, EXPANSIONBUSP3:B29
Missing connection: U61:3, U163:3
Missing connection: EXPANSIONBUSH1:A2, U60:3
Missing connection: U53:3, EXPANSIONBUSP4:A2
Missing connection: U16:3, EXPANSIONBUSP5:A2
Missing connection: U216:3, 6R:14
Missing connection: U317:18, EXPANSIONBUSP3:A2
Missing connection: U61:4, U163:4
Missing connection: EXPANSIONBUSH1:A3, U60:4
Missing connection: U53:4, EXPANSIONBUSP4:A3
Missing connection: U16:4, EXPANSIONBUSP5:A3
Missing connection: U216:4, 6R:13
Missing connection: U317:17, EXPANSIONBUSP3:A3
Missing connection: U61:7, U163:7
Missing connection: EXPANSIONBUSH1:A5, U60:7
Missing connection: U53:7, EXPANSIONBUSP4:A5
Missing connection: U216:7, 6S:11
Missing connection: U16:7, EXPANSIONBUSP5:A5
Missing connection: U317:16, EXPANSIONBUSP3:A5
Missing connection: U61:8, U163:8
Missing connection: EXPANSIONBUSH1:A6, U60:8
Missing connection: U53:8, U232:8
Missing connection: U216:8, 6S:6
Missing connection: U16:8, U243:8
Missing connection: U317:15, EXPANSIONBUSP3:A6
Missing connection: U61:13, U125:13
Missing connection: EXPANSIONBUSH1:B2, U60:13
Missing connection: U53:13, U81:13
Missing connection: U16:13, EXPANSIONBUSP5:B2
Missing connection: U213:13, U82:13
Missing connection: U317:14, EXPANSIONBUSP3:B2
Missing connection: U61:14, U163:14
Missing connection: EXPANSIONBUSH1:B3, U60:14
Missing connection: U53:14, U81:14
Missing connection: U16:14, EXPANSIONBUSP5:B3
Missing connection: U213:14, U82:14
Missing connection: U317:13, EXPANSIONBUSP3:B3
Missing connection: U124:17, U290:17
Missing connection: EXPANSIONBUSH1:B5, U60:17
Missing connection: U53:17, U81:17
Missing connection: U16:17, EXPANSIONBUSP5:B5
Missing connection: U216:17, EXPANSIONBUSP3:B5
Missing connection: U317:12, EXPANSIONBUSP3:B5
Missing connection: U290:18, U124:18
Missing connection: EXPANSIONBUSH1:B6, U60:18
Missing connection: U53:18, U81:18
Missing connection: U16:18, EXPANSIONBUSP5:B6
Missing connection: U216:18, EXPANSIONBUSP3:B6
Missing connection: U317:11, EXPANSIONBUSP3:B6
Missing connection: EXPANSIONBUSP2:A29, EXPANSIONBUSH1:A29
Missing connection: EXPANSIONBUSP4:A29, EXPANSIONBUSP5:A29
Missing connection: EXPANSIONBUSP3:A29, EXPANSIONBUSP4:A29
Missing connection: EXPANSIONBUSP5:A29, EXPANSIONBUSP2:A29
Missing connection: EXPANSIONBUSP1:A29, EXPANSIONBUSP3:A29
Missing connection: EXPANSIONBUSP6:A29, EXPANSIONBUSP3:A29
Missing connection: EXPANSIONBUSP2:B26, EXPANSIONBUSH1:B26
Missing connection: EXPANSIONBUSP4:B26, EXPANSIONBUSP5:B26
Missing connection: EXPANSIONBUSP3:B26, EXPANSIONBUSP4:B26
Missing connection: EXPANSIONBUSP5:B26, EXPANSIONBUSP2:B26
Missing connection: EXPANSIONBUSP1:B26, EXPANSIONBUSP3:B26
Missing connection: EXPANSIONBUSP6:B26, EXPANSIONBUSP3:B26
Missing connection: VIDEOP2:B23, VIDEOH1:B23
Missing connection: VIDEOP4:B23, VIDEOP5:B23
Missing connection: 8B2:1, VIDEOP2:B23
Missing connection: VIDEOP3:B23, VIDEOP4:B23
Missing connection: VIDEOP5:B23, VIDEOP2:B23
Missing connection: VIDEOP6:B23, VIDEOP3:B23
Missing connection: U286:8, U163:1
Missing connection: U216:10, U281:10
Missing connection: VIDEOH1:A31, U91:7
Missing connection: 3M8:8, EXPANSIONBUSP4:A31
Missing connection: U7:15, EXPANSIONBUSP5:A10
Missing connection: U334:8, VIDEOP3:A13
Missing connection: PIXEL4:1, PIXEL5:1
Missing connection: PIXEL4:1, U216:9
Missing connection: VIDEOH1:A8, U83:6
Missing connection: U63:6, VIDEOP5:A8
Missing connection: VIDEOP3:A8, VIDEOP4:A8
Missing connection: 4N:4, VIDEOP2:A8
Missing connection: VIDEOP5:A8, VIDEOP2:A8
Missing connection: VIDEOP6:A8, VIDEOP3:A8
Missing connection: VIDEOH1:A9, U83:2
Missing connection: L2E:10, VIDEOP4:A9
Missing connection: U255:5, L2E:10
Missing connection: U63:2, VIDEOP5:A9
Missing connection: 4N:5, VIDEOP2:A9
Missing connection: VIDEOP6:A9, VIDEOP3:A9
Missing connection: VIDEOH1:B8, U83:15
Missing connection: L2E:6, VIDEOP4:B8
Missing connection: U255:6, L2E:6
Missing connection: U63:15, VIDEOP5:B8
Missing connection: 7R:13, VIDEOP2:B8
Missing connection: VIDEOP6:B8, VIDEOP3:B8
Missing connection: VIDEOH1:B9, U83:11
Missing connection: U255:9, 7S:1
Missing connection: 7S:1, VIDEOP4:B9
Missing connection: U63:11, VIDEOP5:B9
Missing connection: U210:10, VIDEOP2:B9
Missing connection: VIDEOP6:B9, VIDEOP3:B9
Missing connection: VIDEOH1:A11, U84:6
Missing connection: VIDEOP1:A11, 6T:3
Missing connection: U64:6, VIDEOP5:A11
Missing connection: 4H:9, VIDEOP4:A11
Missing connection: U210:12, VIDEOP2:A11
Missing connection: VIDEOP6:A11, VIDEOP3:A11
Missing connection: VIDEOH1:A12, U84:2
Missing connection: 5R:10, VIDEOP4:A12
Missing connection: U255:15, 5S:10
Missing connection: U64:2, VIDEOP5:A12
Missing connection: U210:13, VIDEOP2:A12
Missing connection: VIDEOP6:A12, VIDEOP3:A12
Missing connection: VIDEOH1:B11, U84:15
Missing connection: U255:16, 5S:12
